"KIC","KOI","KepName","Period","T0","T14","ld1","ld2","R_star","rad_up","rad_down","mass","mass_up","mass_down"
9838949,1716.01,"Kepler-935 b",4.88084456,136.19585,0.106558333333333,0.1405,0.5896,0.861,0.135,-0.098,0.817,0.057,-0.052
9895006,1717.01,"Kepler-936 b",10.56137217,133.76396,0.136020833333333,0.2193,0.4785,1.171,0.319,-0.213,1.034,0.105,-0.105
9896558,1718.01,"Kepler-937 b",67.6690554,198.19427,0.398166666666667,0.3058,0.3071,1.08,0.32,-0.172,0.964,0.142,-0.106
9896558,1718.02,"Kepler-937 c",153.348739,190.5347,0.508541666666667,0.3058,0.3071,1.08,0.32,-0.172,0.964,0.142,-0.106
10019065,1721.01,"Kepler-938 b",52.6298542,155.61064,0.254916666666667,0.1923,0.5191,1.433,0.212,-0.531,0.933,0.039,-0.061
10080248,1722.01,"Kepler-939 b",14.8783945,142.96841,0.312125,0.2787,0.3728,0.837,0.251,-0.084,0.92,0.099,-0.11
10318874,104.01,"Kepler-94 b",2.508057497,135.000657,0.046391666666667,0.0989,0.6441,0.761,0.038,-0.027,0.835,0.02,-0.047
10213902,1723.01,"Kepler-940 b",59.6222627,138.13805,0.287,0.2889,0.3511,0.997,0.266,-0.114,1.072,0.126,-0.139
10214162,1724.01,"Kepler-941 b",17.42393582,148.82614,0.205375,0.2916,0.3447,0.969,0.306,-0.122,0.986,0.144,-0.118
8242434,1726.01,"Kepler-942 b",44.96407458,144.56002,0.207541666666667,0.1054,0.6323,0.729,0.051,-0.026,0.817,0.024,-0.054
6185331,1727.01,"Kepler-943 b",49.7700907,159.98658,0.419375,0.2787,0.3728,0.818,0.199,-0.066,0.907,0.09,-0.11
6869184,1732.01,"Kepler-944 b",43.3167427,136.57435,0.208125,0.2787,0.3728,0.774,0.169,-0.061,0.865,0.089,-0.097
6604328,1736.01,"Kepler-945 b",31.0033072,143.29085,0.218875,0.2826,0.3729,1.071,0.286,-0.122,1.173,0.113,-0.17
